batch_size,num_workers,seconds,imgs_per_sec,ram_mb,vms_mb,sys_ram_used_mb,sys_ram_avail_mb,cpu_percent,cuda_alloc_mb,cuda_reserved_mb,cuda_peak_mb
16,4,161.88934516906738,265.3787990502593,1839.171875,3028.9921875,12861.4609375,27913.05859375,0.0,22.5908203125,74.0,948.76953125
32,4,166.21967768669128,258.46518654054546,2128.26171875,3421.67578125,13173.2265625,27601.29296875,0.0,22.5908203125,202.0,1876.798828125
48,4,173.66787028312683,247.3802432767789,2704.72265625,7067.22265625,13574.5546875,27199.96484375,0.0,22.4658203125,3490.0,2804.828125
16,6,185.70925641059875,231.34011104439531,2769.5078125,4821.87109375,13646.50390625,27128.015625,0.0,22.5908203125,1184.0,948.76953125
32,6,175.7091896533966,244.50627815623477,2897.73046875,6112.484375,13839.3125,26935.20703125,0.0,22.5908203125,2344.0,1876.798828125
48,6,175.17126870155334,245.2571150420573,3153.72265625,7517.296875,14031.63671875,26742.8828125,0.0,22.4658203125,3490.0,2804.828125
