epoch,train_loss,val_loss,train_acc,val_acc,lr,train_reg_mae,val_reg_mae
1,1917101.0328918565,837760.1704028021,0.5956107705779334,0.47473730297723293,0.001,1521.8963337646057,803.8365409677375
2,590029.1722888846,520772.1495690127,0.684380472854641,0.8724605954465849,0.001,454.3934688401097,333.360024228071
3,525257.8085338906,502901.22355653456,0.7931260945709282,0.9162434325744309,0.001,336.3587582482974,268.17453176628686
4,518624.21758872864,501271.0939217108,0.8345556042031523,0.7586690017513135,0.001,320.30565460258526,266.9904761212511
