epoch,train_loss,val_loss,train_acc,val_acc,lr,train_reg_mae,val_reg_mae,epoch_time_sec,total_time_sec
1,1917645.4846349605,831732.2991133976,0.5983471978984238,0.47228546409807354,0.001,1522.2981798268868,797.275336174372,307.186959028244,319.296498298645
2,590465.5784277173,526437.8555275832,0.6862412434325744,0.921015761821366,0.001,455.59310747403816,352.2014022265967,320.49342250823975,639.7899208068848
3,523707.6112186679,504247.98650462454,0.7992009632224168,0.9123467600700526,0.001,333.0904093406664,270.599623874858,298.3915910720825,938.1815118789673
4,517843.57028342545,501986.0743032372,0.8364711033274956,0.7938704028021015,0.001,317.6045030637297,265.75243444225623,293.2360279560089,1231.4175398349762
