epoch,train_loss,val_loss,train_acc,val_acc,lr,train_reg_mae,val_reg_mae
1,1523603.2474686932,477070.6139079491,0.6020902192635352,0.8797854908386712,0.001,1244.9068784339486,530.3867665152604
2,469020.701082861,404314.0236848047,0.8072249895256273,0.9237486965589156,0.001,547.3754206655145,424.68954718260335
3,427706.87103755935,378630.39052375057,0.8605046320003724,0.8907530165350812,0.001,486.4841285976561,379.4775847547654
4,409532.55764214596,382035.865518048,0.8800567943764257,0.9430023834351259,0.001,459.44916450852463,392.53680844067566
