epoch,train_loss,val_loss,train_acc,val_acc,lr,train_reg_mae,val_reg_mae,epoch_time_sec,total_time_sec
1,853568.0004564603,500030.32797860116,0.7584115934414746,0.936646234676007,0.001,592.317912525399,265.90142510676344,955.2195136547089,965.4522793292999
2,549009.795255669,499412.6893580342,0.8844924585713972,0.9624343257443082,0.001,303.80520193306614,275.878745174909,839.4505681991577,1804.9028475284576
3,544197.4367457888,493265.3768751368,0.9125675882752129,0.9491243432574431,0.001,291.29061703861385,269.0626563077215,820.6737694740295,2625.576617002487
4,537175.1086461856,487269.16286155046,0.9240931678378319,0.9464098073555166,0.001,281.7754726458764,252.1645506102233,820.903222322464,3446.479839324951
5,535582.6104731384,485596.54157111974,0.9287340469779558,0.953415061295972,0.001,281.1860672898615,249.265029052093,813.9244503974915,4260.404289722443
6,531392.353093241,486908.36602999124,0.9352137650226571,0.9700087565674256,0.001,273.5009645969051,249.40754956247093,814.7127933502197,5075.117083072662
7,528569.925829222,482368.6148519593,0.937107331275585,0.9285901926444834,0.001,269.5211010657745,254.87075448111352,817.9949569702148,5893.112040042877
8,527086.9102368873,482033.8090261055,0.93974518946608,0.9542031523642732,0.001,268.863914763149,258.3355244437784,829.2891056537628,6722.40114569664
9,525976.8726291942,486845.8929058122,0.942393993126245,0.965061295971979,0.001,264.46619536585916,287.7102112564648,820.8836977481842,7543.284843444824
10,523671.18667865155,480563.2210444943,0.9422079201418533,0.9583625218914186,0.001,267.2202726117664,234.43194501512733,812.3463091850281,8355.631152629852
11,520667.517553626,482269.4758565017,0.9438059587136884,0.9444833625218915,0.001,264.1457649869454,248.42826260701997,810.3083825111389,9165.939535140991
12,517895.8968501931,483054.2327926609,0.9445502506512554,0.9652802101576182,0.001,260.1544554800931,284.2839780737348,811.3129103183746,9977.252445459366
13,516978.7798559063,485642.1174775613,0.9453821063461834,0.9037653239929947,0.001,263.6890377796995,297.0869761291611,816.6006484031677,10793.853093862534
14,516076.29461142555,482204.78962894046,0.9453930518158534,0.906830122591944,0.001,262.21906004592734,274.8280601594995,815.421035528183,11609.274129390717
15,515724.85751110624,476467.3965794658,0.9479542917186576,0.9659807355516637,0.001,259.9215727523189,267.2566713937736,811.8805823326111,12421.154711723328
16,512029.625280018,474446.68995115475,0.946301525798472,0.9064360770577934,0.001,259.72641327778786,256.55936088495207,811.3800156116486,13232.534727334976
17,511367.09648055263,498608.90526214975,0.9463124712681421,0.9564798598949212,0.001,262.1559458703983,334.21018072819754,813.5127120018005,14046.047439336777
18,507217.0981870411,472771.3259509085,0.9476040366892143,0.9657618213660245,0.001,259.2842669062052,245.06801128754893,808.3865993022919,14854.434038639069
19,509089.41272809333,494881.48893799254,0.9482607648694206,0.9126094570928196,0.001,258.68603651240863,337.5131986227219,810.3680191040039,15664.802057743073
20,506343.5415402807,516790.641463715,0.948512510671833,0.9613397548161121,0.001,257.92591610828737,395.0379626165547,809.6448354721069,16474.447893857956
21,505428.1761611775,495890.2083461033,0.9470239267966989,0.9345884413309983,0.001,257.41800712060524,336.2993443584275,810.244841337204,17284.69273519516
22,504431.65703884343,469803.95440735825,0.9470020358573586,0.9736865148861646,0.001,258.8589655984155,250.29550654583343,811.3912074565887,18096.08394265175
23,501184.92400389386,465843.2557482076,0.9496946213962041,0.9710157618213661,0.001,259.2610463167677,231.90757244798223,809.1195149421692,18905.20445919037
24,500947.61627881223,475256.5087442535,0.9494319301241216,0.9210595446584938,0.001,256.60415971384833,280.7472657318917,809.4916574954987,19714.696116685867
25,495150.5064884402,469450.25525941333,0.9472975635384514,0.9488616462346761,0.001,257.51986458778526,253.75614542251293,810.9040770530701,20525.600193738937
26,497901.16540297796,479356.177183669,0.949672730456864,0.922723292469352,0.001,256.955752417105,317.55254171875856,811.8464224338531,21337.44661617279
27,495783.32363667333,463778.12052799365,0.9493334208970907,0.9473730297723293,0.001,259.81845623879906,238.0198397340791,813.5312449932098,22150.977861166
28,494417.9251825841,480920.21886698226,0.9500886583043279,0.9718476357267951,0.001,260.1688120996406,300.27990717311667,811.1539299488068,22962.131791114807
29,492252.47784275655,474109.6194648916,0.9500558218953176,0.9549912434325745,0.001,259.1659133546039,284.5481338420808,810.8138523101807,23772.946643829346
30,487869.3599955568,473803.3897370293,0.9489174930496268,0.9575306479859895,0.001,262.5305746871017,289.48952012471267,811.0347816944122,24583.981425523758
31,487872.25536858186,456879.58648615365,0.9495194938814825,0.9362521891418564,0.001,261.567005440978,245.9864066797046,810.094321012497,25394.075746536255
32,488037.27960082557,472729.98900640325,0.9498588034412556,0.9565674255691768,0.001,259.7864426974253,306.0028128441912,812.2668159008026,26206.342562437057
33,484544.62263329874,486818.7929509632,0.9508110593025547,0.8508756567425569,0.001,257.17844894368096,365.41292874257744,811.2582478523254,27017.601811647415
34,484201.84799487545,475750.6312014284,0.9481732011120597,0.9487740805604203,0.001,265.36425530327244,331.87303814194877,813.1867809295654,27830.78859257698
35,482709.0143906979,471396.7180289514,0.9518289879818743,0.9217600700525395,0.001,259.73873712173037,325.87619152169304,814.3018069267273,28645.090399503708
36,475870.4469984016,473741.963601412,0.9491364024430289,0.9499124343257443,0.001,263.8181214326213,316.8814601918236,813.1501364707947,29458.240535974503
37,473489.3922297085,466285.82831997046,0.9492677480790701,0.9265323992994746,0.001,263.1634831528632,264.3278777274484,812.1866881847382,30270.42722415924
38,479666.8381787773,503523.0762313923,0.9494647665331319,0.8704903677758319,0.001,260.03126571707713,407.43070821945804,811.8388764858246,31082.266100645065
39,474614.32100197906,482345.7952085158,0.950843895711565,0.8659369527145359,0.001,261.6942607228031,355.74371981378613,808.7834146022797,31891.049515247345
40,468485.7883423223,460500.15429482266,0.948523456141503,0.9183450087565674,0.001,266.81264349361095,282.6039508024573,808.2355754375458,32699.28509068489
41,469904.81803261425,465631.93208734674,0.949683675926534,0.9716725043782837,0.001,266.3363085720648,309.3435255808922,809.5705060958862,33508.85559678078
42,459673.89969357813,455806.1338701292,0.9477682187342659,0.9331873905429072,0.001,267.1486627686418,269.278734149031,813.513509273529,34322.369106054306
43,469791.81252137787,475752.86029033497,0.9500777128346577,0.8830998248686515,0.001,266.6356614459555,350.16041554786693,811.2075979709625,35133.57670402527
44,459996.4117675428,470545.039523588,0.9488956021102866,0.9664185639229422,0.001,268.27123232489697,339.67846345116504,811.4951019287109,35945.07180595398
45,459198.3094189358,506231.4802457312,0.9495413848208226,0.9043782837127846,0.001,268.9290978154938,440.9767048262882,812.4108910560608,36757.48269701004
46,456413.9020856763,448205.70679933776,0.9501543311223485,0.934106830122592,0.001,269.787664540258,288.32368221249556,810.5585787296295,37568.04127573967
47,453278.5169910459,458839.6292182027,0.9475055274621834,0.9571366024518388,0.001,272.7947004851056,294.1412878674509,812.3117933273315,38380.353069067
48,448568.62151190115,462762.2060009851,0.9477682187342659,0.9496497373029772,0.001,272.2407265149556,334.72738895449663,810.3062608242035,39190.659329891205
49,451428.9245916998,512149.6442234019,0.9493990937151113,0.9383975481611209,0.001,270.98199714882276,464.55890837500687,810.5529358386993,40001.212265729904
50,445046.15095153754,508111.82496169,0.9459184343600184,0.9088441330998248,0.001,277.82317226716634,434.4380372483342,837.8905272483826,40839.10279297829
