epoch,train_loss,val_loss,train_acc,val_acc,lr,train_reg_mae,val_reg_mae,epoch_time_sec,total_time_sec,cuda_mem_alloc_mb,cuda_mem_reserved_mb,cuda_mem_peak_mb
1,989631.4839529779,409867.72254045325,0.762147718491346,0.9507299270072993,0.001,895.2688878336317,436.35150525624255,1033.7588577270508,1054.6768350601196,22.5908203125,568.0,2805.203125
2,337678.6131081715,360217.87916461064,0.9109322483637007,0.9440451363026963,0.001,413.13456496539595,346.35517202076426,877.3727598190308,1932.0515995025635,22.5908203125,3496.0,2805.203125
3,321281.2754029722,351083.25603248825,0.9223653951790851,0.9426858334574706,0.001,384.4722611816575,336.185913467805,879.2731127738953,2811.325714826584,22.5908203125,3496.0,2805.203125
4,312598.2806998147,343054.63832302997,0.9276955878108503,0.9261135110978698,0.001,370.3629250938639,317.6395484791345,876.976841211319,3688.3035571575165,22.5908203125,3496.0,2805.203125
5,306312.15741757985,341776.70728379174,0.9316618097516922,0.9462423655593625,0.001,359.9729401370379,314.6104274086602,882.1114633083344,4570.415020465851,22.5908203125,3496.0,2805.203125
6,301196.5211084502,337758.5279628845,0.933565782490899,0.9492216594667063,0.001,352.53700626526756,311.62916844750276,876.3822214603424,5446.79824256897,22.5908203125,3496.0,2805.203125
7,296538.94018371706,434105.52273108147,0.9348832012811084,0.7248994488306272,0.001,346.69842343987125,511.3912541539911,873.1102590560913,6319.908501625061,22.5908203125,3496.0,2805.203125
8,294867.36850426416,328495.0114580618,0.9354278585194633,0.9581036794279756,0.001,347.00523611596833,289.95278684723206,871.8877053260803,7191.796206951141,22.5908203125,3496.0,2805.203125
9,290578.30836288165,329046.66137589846,0.9361773441209604,0.9616043497691047,0.001,339.5201066080805,299.21200505607123,869.9664852619171,8061.7626922130585,22.5908203125,3496.0,2805.203125
10,287846.2831110577,325734.5269829761,0.9387935609410932,0.9199128556532102,0.001,336.74354536075396,286.3603206403242,878.323647737503,8940.087349176407,22.5908203125,3496.0,2805.203125
11,284266.6989811535,327817.9577772373,0.9390123548744496,0.9594071205124386,0.001,333.88500093031064,295.8604380282137,875.1754903793335,9815.264350414276,22.5908203125,3496.0,2805.203125
12,282235.3028812681,327400.53300906357,0.9394452875510907,0.955794726649784,0.001,333.8049881484498,295.69003282714914,874.3282244205475,10689.592574834824,22.5908203125,3496.0,2805.203125
13,281172.72730689397,331699.9491908191,0.9396268399638757,0.9493147624013109,0.001,328.73746698497376,314.05648171356535,877.3268744945526,11566.919449329376,22.5908203125,3496.0,2805.203125
14,278525.52286789386,329802.5857472209,0.9410420177455846,0.9616229703560256,0.001,325.5637197325361,311.6747647732536,877.9148533344269,12444.834302663803,22.5908203125,3496.0,2805.203125
15,276694.7219876847,326432.3424372486,0.9416658132151535,0.9594257410993594,0.001,324.4218892837961,307.80854968976354,874.0914349555969,13318.9257376194,22.5908203125,3496.0,2805.203125
16,272100.5317906567,317474.4014406515,0.9414144329512975,0.9516050945925816,0.001,326.4283021718062,278.08208190199696,869.2848737239838,14188.210611343384,22.5908203125,3496.0,2805.203125
17,271097.56927577464,319381.8111156757,0.9418194344875102,0.9625726202889915,0.001,324.4175560292131,287.3480404268944,865.9600367546082,15054.170648097992,22.5908203125,3496.0,2805.203125
18,271014.9888860246,314072.87517340423,0.9424246091967935,0.9607291821838224,0.001,321.74238672986064,279.4515543062144,867.8167338371277,15921.98738193512,22.5908203125,3496.0,2805.203125
19,266999.84480010904,314555.19865431346,0.9427225413613638,0.9373603455980932,0.001,321.1906703731011,304.64253062795603,865.5833950042725,16787.570776939392,22.5908203125,3496.0,2805.203125
20,265265.5619935662,307091.7239236137,0.9422616775442941,0.9166542529420527,0.001,323.406793718472,274.534492682473,863.029390335083,17650.600167274475,22.5908203125,3496.0,2805.203125
21,263817.8515164573,309956.20872572344,0.9430996117571481,0.9620512438552064,0.001,322.04377203623324,285.7706122987231,863.236888885498,18513.837056159973,22.5908203125,3496.0,2805.203125
22,263540.297487012,313285.03854054166,0.942713230981221,0.9650119171756294,0.001,321.5766109028388,284.3604132977467,888.6849403381348,19402.52299642563,22.5908203125,3496.0,2805.203125
23,260846.72058338116,318018.3497371006,0.945082722727569,0.9444361686280351,0.001,317.12824978978,323.4454997241826,887.8448987007141,20290.36861562729,22.5908203125,3496.0,2805.203125
