epoch,train_loss,val_loss,train_acc,val_acc,lr,train_reg_mae,val_reg_mae,epoch_time_sec,total_time_sec,cuda_mem_alloc_mb,cuda_mem_reserved_mb,cuda_mem_peak_mb,sys_ram_mb,sys_vms_mb,cpu_percent
1,0.4248867562989273,0.27356214307911186,0.8632165501317419,0.9343251899299866,1e-05,1.0841097937165036,0.6996276175835512,569.5631093978882,590.8167562484741,22.208984375,330.0,1988.56396484375,1989.12890625,3131.4375,0.0
2,0.2665464878620569,0.22145078566414259,0.9324299161134749,0.9511209593326382,1e-05,0.7457759203713668,0.6082123022365016,550.7528867721558,1141.6441116333008,22.208984375,1982.0,1594.39404296875,1991.12890625,4790.61328125,99.0
3,0.23196388868071727,0.19969888993742993,0.9427225413613638,0.955980932518993,1e-05,0.6915537521455499,0.5856512190598445,514.7313990592957,1656.3917679786682,22.208984375,1982.0,1594.39404296875,1991.140625,4790.61328125,99.3
4,0.21170586705014566,0.18840035021917734,0.948336700587485,0.9572471324296142,1e-05,0.6695319138055198,0.5839303446902828,521.0722649097443,2177.483385324478,22.208984375,1982.0,1594.39404296875,1991.1484375,4790.61328125,99.1
5,0.2000023812651873,0.17845522770268293,0.9506037781522619,0.9595747057947267,1e-05,0.6584098728539036,0.5674924318079761,508.292840719223,2685.7992882728577,22.208984375,1982.0,1594.39404296875,1989.4140625,4788.23046875,99.0
6,0.1896003556026275,0.16905634571019432,0.953313098773823,0.9615298674214211,1e-05,0.6498150401347295,0.5574592892643806,506.6962671279907,3192.511195898056,22.208984375,1982.0,1594.39404296875,1571.4765625,4790.609375,99.0
7,0.1837016432542047,0.16415069563572088,0.9541324122263912,0.9625726202889915,1e-05,0.644114524579163,0.5541542326659963,500.8724834918976,3693.399193763733,22.208984375,1982.0,1594.39404296875,1571.51171875,4790.609375,99.5
8,0.17820410769847705,0.16091675465321925,0.9552962097442439,0.9633546849396692,1e-05,0.6412773098583752,0.5497165735975811,504.58781719207764,4198.003522157669,22.208984375,1982.0,1594.39404296875,1571.53125,4790.609375,99.6
9,0.17471142289853714,0.15590967007595133,0.9560736264861694,0.9639877848949799,1e-05,0.6382667446462337,0.5464554851250127,504.704794883728,4702.72794508934,22.208984375,1982.0,1594.39404296875,1571.5546875,4790.609375,99.5
10,0.17154400449851437,0.15854579984196143,0.9568696639883807,0.9628333085058841,1e-05,0.6367465069153088,0.5634325506007745,503.8132929801941,5206.558258533478,22.208984375,1982.0,1594.39404296875,1571.29296875,4790.171875,99.1
