,,,,,,,,,
,computer one,,,,,,,,
,T/V run,batch size,number of workers,epochs,learning rate,image channels,AMP usage,,
,1,28,2,50,0.001,3,no,,
,2,48,4,250,0.00001,1,yes,,
,,,,,,,,,
,computer two,,,,,,,,
,T/V run,batch size,number of workers,epochs,learning rate,image channels,AMP usage,,
,1,28,2,50,0.001,3,no,,
,2,48,4,250,0.00001,1,yes,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
